商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
7,15,0,0,,,,,手の平駆動の方に・グリップマスター　ショート,1,,,,,,,,頸椎損傷やリウマチ等で手の不自由な方で、主に手の平駆動の方へ!,01301430_5108aff834b84.jpg,"頸椎損傷やリウマチ等で手の不自由な方で、主に手の平駆動の方へ!
雨の日もグローブが滑らないよう特殊配合した革を使用。
雨にぬれても安心です。

【特徴】
●ゴムと同等のグリップ力
●雨、汗でぬれてもハンドリムをしっかりグリップ
●フィット感抜群。天然皮革は使い込むと自分の手の形に馴染みます。
●通気性があり、むれにくい。
●洗濯でき、いつも清潔に利用することができます。
●サイズが豊富で手にしっかりフィット!

■サイズ(手のひらまわり)
S:19cm
M:19.5cm
L:",01301430_5108aff82be62.jpg,01301430_5108aff8270a1.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,11,1,0,1,,3496,0,0,,,,,,,,,,,,,,,,,1,
16,24,0,0,,,,,京セラ　食材がよく見える!黒いまな板,1,,,,,,,,"背景が黒いから食材がはっきり見えます。
視認性が高まり安全で調理がしやすいまな板です",01301416_5108acb26348c.jpg,"背景が黒いから食材がはっきり見えます。
視認性が高まり安全で調理がしやすいまな板です

表面は食材がすべりにくいダイヤカットエンボス加工。
ソフトな樹脂使用なので曲げられ、
切った食材を手早くそのまま移すことが可能です。

■サイズ:300×210×2mm
■重量:120g
■素材:オレフィン系エラストマー
■耐燃温度:100℃
■耐冷温度:-20℃",01301416_5108acb25be3f.jpg,01301416_5108acb258862.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,0,0,,840,0,0,,,,,,,,,,,,,,,,,1,
15,23,0,0,,,,,かきポンくん,1,,,,,,,,書いて伝えるコミュニケーション。,01301418_5108ad1784e6a.jpg,"書いて伝えるコミュニケーション。

磁気式メッセージボードなので、手も汚れません。
書いた後はポンッとボタンを押すだけで
簡単に消えるので、消しカスも出ず便利!!

ご家庭でのご利用だけでなく、
会社や施設の受付・窓口に置いたり、
電車やバスの交通機関で利用したり
お子さんの玩具としても。
シンプルなデザインで、軽くて大きすぎないので、
外出時の持ち運びにも◎

ボタンを押すだけで簡単に消えます。

●サイズ/27.2×16.7×2.5cm
●重さ/　404g
●材質/　",01301418_5108ad177e876.jpg,01301418_5108ad177b6a2.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,3,0,0,0,,2409,0,0,,,,,,,,,,,,,,,,,1,
14,22,0,0,,,,,靴べら　Vela(ヴェラ),1,,,,,,,,靴のかかとにはさみこんで、足を入れるだけの新しい発想の靴べらです。,01301419_5108ad7e78a92.jpg,"靴のかかとにはさみこんで、足を入れるだけの新しい発想の靴べらです。
手や足にお悩みがある方、かがむ姿勢がつらい方など、
履きたい靴を自分でうまく履けずにあきらめていた方でも、靴が履けます。

■サイズ:60×98×70mm
■材質:本体-ポリカーボネート、紐-ポリプロピレン
■重量:約22g
■入数:1個",01301419_5108ad7e7591f.jpg,01301419_5108ad7e7272a.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,4,0,0,0,,892,0,0,,,,,,,,,,,,,,,,,1,
13,21,0,0,,,,,アルケア　リモイスバリア　160g　18031,1,,,,,,,,「リモイスバリア」は肌にうるおいを与える撥水性スキンケアクリームです。,01301421_5108addf6a0dd.jpg,"●撥水力で肌をしっかり守るうるおいバリア!
●撥水性を持つ保護膜が、汚れや外的刺激から肌を保護。頻繁な刺激にも、優れた撥水性を発揮します。
●pH緩衝能により、強い刺激から肌をやさしく保護します。
●保湿成分配合で肌をしっとりなめらかに保ちます。
●撥水クリーム特有のべたつきが少なく、皮膚によくなじみ、なめらかで自然な使用感です。

「リモイスバリア」は肌にうるおいを与える撥水性スキンケアクリームです。

失禁部位などの皮膚障害が予測される部位へ塗ることで、皮膚に撥水性の保護膜を作り、",01301421_5108addf616bf.jpg,01301421_5108addf5d813.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,5,0,0,0,,2173,0,0,,,,,,,,,,,,,,,,,1,
12,20,0,0,,,,,旧型　車いすストラップ　青,1,,,,,,,,"Co-Co Life特製　車いすストラップ
こちらは旧型です。",01301422_5108ae30a14de.jpg,"Co-Co Life特製　車いすストラップ
こちらは旧型です。

車イスバスケの車イスをモチーフにした
携帯電話用ストラップ。

小さいながら細かいつくりで、カッコいい!!

リアルさにこだわったため、
特に車輪部分が大変壊れやすい商品となっております。
ご了承の上、ご購入ください。

車輪を座面にくっつけ、壊れにくく改良した新型も販売中!",01301422_5108ae3094e3e.jpg,01301422_5108ae306ed09.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,6,0,0,0,,500,0,0,,,,,,,,,,,,,,,,,1,
11,19,0,0,,,,,Co-Co Life Vol.13 2011年1月号,1,,,,,,,,"障がいがあることは、夢の実現の壁にはならない。
Co-Co Life Vol.13ではそれを実感させてくれる5名の女性を紹介。",01301424_5108ae8151b7a.jpg,"障がいがあることは、夢の実現の壁にはならない。
Co-Co Life Vol.13ではそれを実感させてくれる5名の女性を紹介。
4大会連続でパラリンピックに出場の「水の女王」成田真由美さん、
広い校内を車いすで自由自在に動き回る小学校教諭 加治良美さん、
手話にダンスとできることすべてで表現する女優・サインボーカル・ダンサーの大橋ひろえさん、
盲導犬ナンシーと共に活動するトロンボーンソリスト鈴木加奈子さん、
障がい者の自立や取り巻く環境問題に市議会議員として取り組む傳田ひろみさん。
自分を信",01301424_5108ae814835a.jpg,01301424_5108ae812c221.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,7,0,0,0,,500,0,0,,,,,,,,,,,,,,,,,1,
10,18,0,0,,,,,旧型　車いすストラップ　赤,1,,,,,,,,"Co-Co Life特製　車いすストラップ
こちらは旧型です。",01301425_5108aeda11ce7.jpg,"Co-Co Life特製　車いすストラップ
こちらは旧型です。

車イスバスケの車イスをモチーフにした
携帯電話用ストラップ。

小さいながら細かいつくりで、カッコいい!!

リアルさにこだわったため、
特に車輪部分が大変壊れやすい商品となっております。
ご了承の上、ご購入ください。

車輪を座面にくっつけ、壊れにくく改良した新型も販売中!",01301425_5108aeda0817a.jpg,01301425_5108aed9df8e1.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,8,0,0,0,,500,0,0,,,,,,,,,,,,,,,,,1,
9,17,0,0,,,,,音声で知らせる体重計!タニタ　体組成計　音声インナースキャン,1,,,,,,,,設定手順や測定結果を音声で教えてくれる体組成計!,01301427_5108af42e08be.jpg,"設定手順や測定結果を音声で教えてくれる体組成計!

体重の他、筋肉量、体脂肪率、内臓脂肪レベル、基礎代謝量 もチェックできます。

4人分の年齢、性別、身長のデータを登録することができます。

■サイズ:幅32×奥行33.1×厚さ3.6cm
■重量:約2.6kg(乾電池含む)
■最大計量:150kg
■登録人数:4人
■付属品:単3乾電池4本",01301427_5108af42de711.jpg,01301427_5108af42dc305.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,9,0,0,0,,18900,0,0,,,,,,,,,,,,,,,,,1,
8,16,0,0,,,,,かきポンくん専用スタンドケース,1,,,,,,,,簡易筆談器「かきポンくん」専用のスタンドケース。,01301428_5108af991b443.jpg,"簡易筆談器「かきポンくん」専用のスタンドケース。

受付や窓口などではせっかく用意した筆談器を
カウンターの下にしまいこんでしまうことも多いのですが、
必要性を申し出ることに負担を感じている人もいます。
　
ぜひ窓口の見える所に置いてください。
聞こえない、聞こえにくい方々への
配慮があることをアピールできます。",01301428_5108af9919162.jpg,01301428_5108af9916dff.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,10,0,0,0,,2740,0,0,,,,,,,,,,,,,,,,,1,
6,14,0,0,,,,,手の平駆動の方に・グリップマスター　ショート,1,,,,,,,,頸椎損傷やリウマチ等で手の不自由な方で、主に手の平駆動の方へ!,01301430_5108aff834b84.jpg,"頸椎損傷やリウマチ等で手の不自由な方で、主に手の平駆動の方へ!
雨の日もグローブが滑らないよう特殊配合した革を使用。
雨にぬれても安心です。

【特徴】
●ゴムと同等のグリップ力
●雨、汗でぬれてもハンドリムをしっかりグリップ
●フィット感抜群。天然皮革は使い込むと自分の手の形に馴染みます。
●通気性があり、むれにくい。
●洗濯でき、いつも清潔に利用することができます。
●サイズが豊富で手にしっかりフィット!

■サイズ(手のひらまわり)
S:19cm
M:19.5cm
L:",01301430_5108aff82be62.jpg,01301430_5108aff8270a1.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,11,0,0,0,,3496,0,0,,,,,,,,,,,,,,,,,1,
5,13,0,0,,,,,Co-Co Life 全冊セット(Vol.2〜Vol.13),1,,,,,,,,"障がいをもつ人たちの
社会への繋がりを支援する
こころのバリアフリーマガジン",01301414_5108ac473644b.jpg,"障がいをもつ人たちの
社会への繋がりを支援する
こころのバリアフリーマガジン

『Co-Co Life(ココライフ)』

Co-Co Life　Vol.2〜Vol.13の全冊セットです。
Para-Life(Co-Co Lifeの前身として発行)の
Vol.0、Vol.1もプレゼント!
1冊ずつご購入頂くより1000円分お得です☆

Co-Co Life
巻頭特集

【Vol.2】街ではたらく!遊ぶお金　出会い　そして夢
【Vol.3】まずは始める、すると楽しい、だったら極め",01301414_5108ac4729aa5.jpg,01301414_5108ac470233e.jpg,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,,5000,0,0,,,,,,,,,,,,,,,,,1,
